ï»¿datasetId,contigId,Average fold,Length,Reference GC,Covered percent,Covered bases,Plus reads,Minus reads,Median fold,Read GC,Complete Lineage,IMG scaffold_oid,Kingdom,Phylum,Class,Order,Family,Genus,Species
0,scaffold16190,6,241,0.556,100,241,5,7,7,0.5355,0.0.2.4.2.1.6,Ga0066474_116190,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,
0.1,scaffold00010,821.3,22123,0.4707,100,22123,61126,61130,826,0.467,0.1,Ga0066474_100010,Bacteria,,,,,,
0.1,scaffold00034,804.1,14235,0.5823,100,14235,38642,38671,793,0.58,0.1,Ga0066474_100034,Bacteria,,,,,,
0.1,scaffold00050,927.2,12956,0.461,100,12956,40417,40405,938,0.4566,0.1,Ga0066474_100050,Bacteria,,,,,,
0.1,scaffold00106,823.4,9697,0.495,100,9697,26923,26868,833,0.4913,0.1,Ga0066474_100106,Bacteria,,,,,,
0.1,scaffold00415,876.8,5208,0.4105,100,5208,15371,15380,887,0.408,0.1,Ga0066474_100415,Bacteria,,,,,,
0.1,scaffold00424,794,5134,0.4363,100,5134,13729,13807,802,0.4343,0.1,Ga0066474_100424,Bacteria,,,,,,
0.1,scaffold00463,7.4,4919,0.5776,100,4919,124,121,7,0.5786,0.1,Ga0066474_100463,Bacteria,,,,,,
0.1,scaffold00642,888.9,4089,0.4815,100,4089,12307,12280,893,0.4806,0.1,Ga0066474_100642,Bacteria,,,,,,
0.1,scaffold00750,7.9,3764,0.5178,100,3764,102,98,8,0.5155,0.1,Ga0066474_100750,Bacteria,,,,,,
0.1,scaffold00828,772,3551,0.5894,100,3551,9334,9309,778,0.5862,0.1,Ga0066474_100828,Bacteria,,,,,,
0.1,scaffold00997,870.3,3108,0.4485,100,3108,9145,9121,882,0.4447,0.1,Ga0066474_100997,Bacteria,,,,,,
0.1,scaffold01006,7.4,3090,0.5081,100,3090,80,74,7,0.5121,0.1,Ga0066474_101006,Bacteria,,,,,,
0.1,scaffold01065,836.6,2931,0.4906,100,2931,8396,8245,838,0.4837,0.1,Ga0066474_101065,Bacteria,,,,,,
0.1,scaffold01093,913.1,2875,0.5176,100,2875,8866,8875,931,0.515,0.1,Ga0066474_101093,Bacteria,,,,,,
0.1,scaffold01132,6,2809,0.6661,100,2809,57,57,6,0.6691,0.1,Ga0066474_101132,Bacteria,,,,,,
0.1,scaffold01184,815.5,2731,0.4127,100,2731,7520,7563,838,0.4084,0.1,Ga0066474_101184,Bacteria,,,,,,
0.1,scaffold01194,923.9,2718,0.4474,100,2718,8473,8492,939,0.4468,0.1,Ga0066474_101194,Bacteria,,,,,,
0.1,scaffold01262,887.8,2633,0.4011,100,2633,7909,7869,908,0.3936,0.1,Ga0066474_101262,Bacteria,,,,,,
0.1,scaffold01292,6.9,2588,0.5104,100,2588,61,59,7,0.5125,0.1,Ga0066474_101292,Bacteria,,,,,,
0.1,scaffold01336,5.7,2535,0.4714,100,2535,50,48,6,0.4681,0.1,Ga0066474_101336,Bacteria,,,,,,
0.1,scaffold01374,942.6,2490,0.4253,100,2490,8039,7949,964,0.4207,0.1,Ga0066474_101374,Bacteria,,,,,,
0.1,scaffold01532,913.4,2254,0.4312,100,2254,6928,6989,938,0.4255,0.1,Ga0066474_101532,Bacteria,,,,,,
0.1,scaffold01595,911.8,2185,0.4265,100,2185,6793,6749,947,0.4211,0.1,Ga0066474_101595,Bacteria,,,,,,
0.1,scaffold01602,4.8,2179,0.385,100,2179,36,35,5,0.3847,0.1,Ga0066474_101602,Bacteria,,,,,,
0.1,scaffold01724,786.6,2033,0.5701,100,2033,5389,5518,805,0.568,0.1,Ga0066474_101724,Bacteria,,,,,,
0.1,scaffold01744,4.8,2007,0.3612,100,2007,32,33,5,0.3568,0.1,Ga0066474_101744,Bacteria,,,,,,
0.1,scaffold01790,798.7,1969,0.5135,100,1969,5337,5410,842,0.5071,0.1,Ga0066474_101790,Bacteria,,,,,,
0.1,scaffold01879,1050.2,1889,0.477,100,1889,6857,6561,850,0.4886,0.1,Ga0066474_101879,Bacteria,,,,,,
0.1,scaffold02017,903.1,1778,0.3988,100,1778,5432,5439,927,0.3975,0.1,Ga0066474_102017,Bacteria,,,,,,
0.1,scaffold02025,5.6,1771,0.5782,100,1771,33,33,6,0.5817,0.1,Ga0066474_102025,Bacteria,,,,,,
0.1,scaffold02038,792,1765,0.5241,100,1765,4794,4764,808,0.5181,0.1,Ga0066474_102038,Bacteria,,,,,,
0.1,scaffold02127,6.4,1690,0.6349,100,1690,36,37,6,0.6408,0.1,Ga0066474_102127,Bacteria,,,,,,
0.1,scaffold02261,929.6,1594,0.4523,100,1594,5010,5050,966,0.4483,0.1,Ga0066474_102261,Bacteria,,,,,,
0.1,scaffold02273,6,1589,0.5173,100,1589,31,34,6,0.5197,0.1,Ga0066474_102273,Bacteria,,,,,,
0.1,scaffold02308,10.4,1566,0.3883,100,1566,53,64,7,0.4071,0.1,Ga0066474_102308,Bacteria,,,,,,
0.1,scaffold02372,744.4,1521,0.545,100,1521,3796,3911,761,0.5436,0.1,Ga0066474_102372,Bacteria,,,,,,
0.1,scaffold02625,5.9,1360,0.4853,100,1360,27,27,5,0.4784,0.1,Ga0066474_102625,Bacteria,,,,,,
0.1,scaffold02731,917.5,1298,0.4414,100,1298,4362,3968,838,0.4385,0.1,Ga0066474_102731,Bacteria,,,,,,
0.1,scaffold02805,5.8,1252,0.401,100,1252,25,24,6,0.3949,0.1,Ga0066474_102805,Bacteria,,,,,,
0.1,scaffold02944,5.4,1187,0.4271,100,1187,21,22,6,0.4278,0.1,Ga0066474_102944,Bacteria,,,,,,
0.1,scaffold03138,863.8,1098,0.4645,100,1098,3254,3209,926,0.4619,0.1,Ga0066474_103138,Bacteria,,,,,,
0.1,scaffold03237,8.1,1059,0.4164,100,1059,29,29,9,0.4069,0.1,Ga0066474_103237,Bacteria,,,,,,
0.1,scaffold03262,807.5,1048,0.5334,100,1048,2905,2895,852,0.5334,0.1,Ga0066474_103262,Bacteria,,,,,,
0.1,scaffold03293,6,1037,0.4725,100,1037,19,23,6,0.4502,0.1,Ga0066474_103293,Bacteria,,,,,,
0.1,scaffold03317,8.6,1032,0.3895,100,1032,28,33,9,0.3884,0.1,Ga0066474_103317,Bacteria,,,,,,
0.1,scaffold03628,7.3,936,0.6474,100,936,23,24,8,0.6458,0.1,Ga0066474_103628,Bacteria,,,,,,
0.1,scaffold03661,3.9,923,0.4875,100,923,13,13,4,0.4848,0.1,Ga0066474_103661,Bacteria,,,,,,
0.1,scaffold03754,845.3,895,0.4804,100,895,2576,2608,905,0.4752,0.1,Ga0066474_103754,Bacteria,,,,,,
0.1,scaffold03775,4.7,889,0.5928,100,889,15,13,4,0.603,0.1,Ga0066474_103775,Bacteria,,,,,,
0.1,scaffold04037,5.8,825,0.5164,100,825,16,16,6,0.4963,0.1,Ga0066474_104037,Bacteria,,,,,,
0.1,scaffold04109,5.8,807,0.5824,100,807,14,18,5,0.5814,0.1,Ga0066474_104109,Bacteria,,,,,,
0.1,scaffold04173,6.7,789,0.4842,100,789,17,19,7,0.481,0.1,Ga0066474_104173,Bacteria,,,,,,
0.1,scaffold04204,870.6,783,0.4547,100,783,2343,2395,921,0.4493,0.1,Ga0066474_104204,Bacteria,,,,,,
0.1,scaffold04250,898.1,772,0.421,100,772,2466,2427,935,0.4198,0.1,Ga0066474_104250,Bacteria,,,,,,
0.1,scaffold04475,895,721,0.4688,100,721,2251,2268,944,0.472,0.1,Ga0066474_104475,Bacteria,,,,,,
0.1,scaffold04549,5.4,706,0.4901,100,706,14,12,5,0.4938,0.1,Ga0066474_104549,Bacteria,,,,,,
0.1,scaffold04581,4.1,698,0.4441,100,698,9,11,4,0.4443,0.1,Ga0066474_104581,Bacteria,,,,,,
0.1,scaffold04584,801.5,698,0.4585,100,698,1971,2073,832,0.4592,0.1,Ga0066474_104584,Bacteria,,,,,,
0.1,scaffold04910,698,645,0.4388,100,645,1513,1586,746,0.4298,0.1,Ga0066474_104910,Bacteria,,,,,,
0.1,scaffold04951,6.2,638,0.442,100,638,15,12,6,0.4545,0.1,Ga0066474_104951,Bacteria,,,,,,
0.1,scaffold05024,2.9,627,0.681,100,627,6,7,3,0.6809,0.1,Ga0066474_105024,Bacteria,,,,,,
0.1,scaffold05073,3.8,620,0.4403,100,620,7,9,3,0.4508,0.1,Ga0066474_105073,Bacteria,,,,,,
0.1,scaffold05287,3.2,592,0.3564,100,592,6,7,3,0.3605,0.1,Ga0066474_105287,Bacteria,,,,,,
0.1,scaffold05293,4.3,590,0.3915,100,590,10,7,4,0.3757,0.1,Ga0066474_105293,Bacteria,,,,,,
0.1,scaffold05620,858,551,0.49,100,551,1687,1662,940,0.4769,0.1,Ga0066474_105620,Bacteria,,,,,,
0.1,scaffold05652,3.3,548,0.6953,100,548,6,6,3,0.6837,0.1,Ga0066474_105652,Bacteria,,,,,,
0.1,scaffold05676,815.1,545,0.4202,100,545,1543,1530,927,0.406,0.1,Ga0066474_105676,Bacteria,,,,,,
0.1,scaffold06074,5.7,510,0.6686,100,510,10,10,6,0.6778,0.1,Ga0066474_106074,Bacteria,,,,,,
0.1,scaffold06234,837.5,498,0.4498,100,498,1445,1471,957,0.4403,0.1,Ga0066474_106234,Bacteria,,,,,,
0.1,scaffold06543,4,475,0.4863,100,475,6,7,4,0.4841,0.1,Ga0066474_106543,Bacteria,,,,,,
0.1,scaffold08385,811.7,380,0.4316,100,380,1137,1092,923,0.4316,0.1,Ga0066474_108385,Bacteria,,,,,,
0.1,scaffold09118,2.7,356,0.6713,100,356,3,4,2,0.6676,0.1,Ga0066474_109118,Bacteria,,,,,,
0.1,scaffold09341,787.1,350,0.4857,100,350,928,996,800,0.4697,0.1,Ga0066474_109341,Bacteria,,,,,,
0.1,scaffold17947,3.3,226,0.7168,100,226,3,2,3,0.7293,0.1,Ga0066474_117947,Bacteria,,,,,,
0.1,scaffold04457,5,725,0.3628,100,725,13,12,5,0.3589,0.1.0,Ga0066474_104457,Bacteria,Acidobacteria,,,,,
0.1,scaffold09196,2.3,354,0.6243,100,354,4,2,2,0.6267,0.1.0,Ga0066474_109196,Bacteria,Acidobacteria,,,,,
0.1,scaffold05162,4.8,607,0.5157,100,607,12,8,5,0.5143,0.1.0.0.0.0,Ga0066474_105162,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
0.1,scaffold05184,755.9,605,0.5107,100,605,1563,1649,826,0.5076,0.1.0.0.0.0,Ga0066474_105184,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
0.1,scaffold12229,4.7,288,0.6076,100,288,4,6,5,0.5987,0.1.0.0.0.0,Ga0066474_112229,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
0.1,scaffold19146,528.3,217,0.4839,100,217,409,438,539,0.4874,0.1.0.0.0.0,Ga0066474_119146,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
0.1,scaffold15199,2.2,249,0.502,100,249,2,2,2,0.5,0.1.0.0.0.0.1,Ga0066474_115199,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,
0.1,scaffold06088,7,509,0.3969,100,509,12,12,7,0.4033,0.1.0.0.0.0.2,Ga0066474_106088,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,
0.1,scaffold19850,7.1,211,0.5687,100,211,8,4,8,0.5829,0.1.0.0.0.0.2,Ga0066474_119850,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,
0.1,scaffold19851,508.1,211,0.5403,100,211,404,385,513,0.5636,0.1.0.0.0.0.2,Ga0066474_119851,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,
0.1,scaffold03079,815.6,1126,0.508,100,1126,3114,3167,869,0.5034,0.1.0.0.0.0.3,Ga0066474_103079,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,
0.1,scaffold04439,5,730,0.5178,100,730,13,12,4,0.5227,0.1.0.0.0.0.3,Ga0066474_104439,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,
0.1,scaffold04939,801.6,640,0.5,100,640,1815,1774,846,0.5036,0.1.0.0.0.0.3,Ga0066474_104939,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,
0.1,scaffold06893,3.2,452,0.458,100,452,6,4,3,0.4619,0.1.0.0.0.0.3,Ga0066474_106893,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,
0.1,scaffold17720,2.4,228,0.5482,100,228,2,2,3,0.5617,0.1.0.0.0.0.3,Ga0066474_117720,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,
0.1,scaffold11803,3.4,295,0.6542,100,295,3,4,4,0.654,0.1.0.1.0.0.1,Ga0066474_111803,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Holophaga,
0.1,scaffold05155,3.8,608,0.3684,100,608,8,8,4,0.3679,0.1.0.2.0,Ga0066474_105155,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
0.1,scaffold17784,1.9,227,0.3524,100,227,1,2,2,0.3511,0.1.1,Ga0066474_117784,Bacteria,Actinobacteria,,,,,
0.1,scaffold11431,1457.7,303,0.5149,100,303,1661,1639,1518,0.5239,0.1.1.0.0.0.2,Ga0066474_111431,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,Ilumatobacter,
0.1,scaffold02415,5.1,1496,0.51,100,1496,26,26,5,0.5124,0.1.1.0.1,Ga0066474_102415,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,,,
0.1,scaffold18399,2.5,222,0.7432,100,222,1,3,3,0.7433,0.1.1.0.1.8.0,Ga0066474_118399,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,
0.1,scaffold21105,5750.7,201,0.7015,100,201,4635,4546,5836,0.6982,0.1.1.0.1.8.0,Ga0066474_121105,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,
0.1,scaffold20269,3.3,207,0.7053,100,207,3,2,3,0.6929,0.1.1.0.1.10.0,Ga0066474_120269,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium,
0.1,scaffold18702,1.3,220,0.7682,100,220,0,2,1,0.7551,0.1.1.0.1.15,Ga0066474_118702,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,,
0.1,scaffold16595,3.6,237,0.6624,100,237,2,4,3,0.6763,0.1.1.0.1.15.1,Ga0066474_116595,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Geodermatophilus,
0.1,scaffold18907,2.3,218,0.4954,100,218,1,3,2,0.4872,0.1.1.0.1.15.1,Ga0066474_118907,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Geodermatophilus,
0.1,scaffold07986,2.1,394,0.5838,100,394,3,3,2,0.5789,0.1.1.0.1.23.1,Ga0066474_107986,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,
0.1,scaffold08769,3.1,368,0.5326,100,368,4,4,3,0.5171,0.1.1.0.1.23.1,Ga0066474_108769,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,
0.1,scaffold08266,3.7,384,0.6927,100,384,6,4,4,0.6905,0.1.1.0.1.24.0,Ga0066474_108266,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes,
0.1,scaffold09257,654,352,0.5568,100,352,809,859,740,0.5597,0.1.1.0.1.24.0,Ga0066474_109257,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes,
0.1,scaffold09264,2.3,352,0.5483,92.8977,327,3,3,2,0.5655,0.1.1.0.1.24.0,Ga0066474_109264,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes,
0.1,scaffold10179,643.4,329,0.541,100,329,736,782,699,0.5358,0.1.1.0.1.24.0,Ga0066474_110179,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes,
0.1,scaffold12905,675.1,277,0.5884,100,277,715,687,727,0.5748,0.1.1.0.1.24.0,Ga0066474_112905,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes,
0.1,scaffold12928,3,277,0.5921,100,277,3,4,3,0.5752,0.1.1.0.1.24.0,Ga0066474_112928,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes,
0.1,scaffold10594,4.1,319,0.6332,100,319,4,5,4,0.63,0.1.1.0.1.24.1,Ga0066474_110594,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Catelliglobosispora,
0.1,scaffold01347,782.2,2518,0.5822,100,2518,6662,6707,805,0.5785,0.1.1.0.1.24.4,Ga0066474_101347,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,
0.1,scaffold06293,1278.6,493,0.6187,100,493,2256,2259,1419,0.6187,0.1.1.0.1.24.4,Ga0066474_106293,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,
0.1,scaffold07770,702.5,404,0.5248,100,404,1027,977,794,0.5039,0.1.1.0.1.24.4,Ga0066474_107770,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,
0.1,scaffold08019,4,393,0.5954,100,393,6,5,4,0.6075,0.1.1.0.1.24.4,Ga0066474_108019,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,
0.1,scaffold09230,5.3,353,0.5864,100,353,7,6,5,0.5663,0.1.1.0.1.24.4,Ga0066474_109230,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,
0.1,scaffold09501,589.5,346,0.6503,100,346,724,772,664,0.6427,0.1.1.0.1.24.4,Ga0066474_109501,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,
0.1,scaffold12394,2.4,285,0.7018,100,285,2,3,2,0.7015,0.1.1.0.1.24.4,Ga0066474_112394,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,
0.1,scaffold12922,5,277,0.6029,100,277,5,5,5,0.599,0.1.1.0.1.24.4,Ga0066474_112922,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,
0.1,scaffold14198,1.9,258,0.6202,100,258,2,2,2,0.615,0.1.1.0.1.24.4,Ga0066474_114198,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,
0.1,scaffold14490,484.8,256,0.6211,100,256,459,455,514,0.6167,0.1.1.0.1.24.4,Ga0066474_114490,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,
0.1,scaffold19129,2.7,217,0.5991,100,217,2,2,3,0.615,0.1.1.0.1.24.4,Ga0066474_119129,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,
0.1,scaffold19751,2.4,212,0.5755,100,212,3,1,3,0.5683,0.1.1.0.1.24.4,Ga0066474_119751,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora,
0.1,scaffold12717,525.4,280,0.5857,100,280,528,533,549,0.5848,0.1.1.0.1.24.5,Ga0066474_112717,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Salinispora,
0.1,scaffold13473,5,268,0.6828,100,268,5,5,6,0.6933,0.1.1.0.1.24.6,Ga0066474_113473,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Verrucosispora,
0.1,scaffold09236,6.3,353,0.4873,100,353,8,8,7,0.4921,0.1.1.0.1.25.1,Ga0066474_109236,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,
0.1,scaffold09459,1.9,346,0.4422,100,346,2,3,2,0.4446,0.1.1.0.1.25.1,Ga0066474_109459,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,
0.1,scaffold13209,3.7,272,0.5588,100,272,4,3,4,0.539,0.1.1.0.1.25.1,Ga0066474_113209,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,
0.1,scaffold14327,2.1,257,0.6304,100,257,2,2,2,0.625,0.1.1.0.1.25.1,Ga0066474_114327,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,
0.1,scaffold15820,416.7,244,0.5533,100,244,346,431,433,0.561,0.1.1.0.1.25.1,Ga0066474_115820,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,
0.1,scaffold03909,759.7,860,0.5744,100,860,2243,2268,789,0.5718,0.1.1.0.1.27.0,Ga0066474_103909,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia,
0.1,scaffold08485,3.9,376,0.7473,100,376,5,5,4,0.764,0.1.1.0.1.27.0,Ga0066474_108485,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia,
0.1,scaffold17449,1.7,230,0.6304,100,230,2,1,2,0.6333,0.1.1.0.1.27.0,Ga0066474_117449,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia,
0.1,scaffold19130,3.8,217,0.5069,100,217,2,4,4,0.4944,0.1.1.0.1.27.0,Ga0066474_119130,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia,
0.1,scaffold20676,1.3,204,0.7451,100,204,1,1,1,0.7304,0.1.1.0.1.27.0,Ga0066474_120676,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia,
0.1,scaffold12515,2.8,283,0.5336,100,283,3,3,3,0.5197,0.1.1.0.1.27.1,Ga0066474_112515,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,
0.1,scaffold15836,2.2,244,0.541,100,244,3,1,2,0.535,0.1.1.0.1.27.1,Ga0066474_115836,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,
0.1,scaffold15837,643.1,244,0.5287,100,244,566,637,682,0.5213,0.1.1.0.1.27.1,Ga0066474_115837,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,
0.1,scaffold20054,2.5,209,0.7321,100,209,2,2,2,0.7378,0.1.1.0.1.28,Ga0066474_120054,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,,
0.1,scaffold12750,3.1,279,0.4731,100,279,3,3,4,0.4944,0.1.1.0.1.28.2,Ga0066474_112750,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Kribbella,
0.1,scaffold09387,6.3,349,0.4241,97.9943,342,8,7,6,0.4269,0.1.1.0.1.28.3,Ga0066474_109387,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,
0.1,scaffold05740,3.4,539,0.4045,100,539,8,5,3,0.4065,0.1.1.0.1.32.4,Ga0066474_105740,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,
0.1,scaffold20460,472.1,206,0.5583,100,206,370,382,469,0.5696,0.1.1.0.1.32.4,Ga0066474_120460,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,
0.1,scaffold04280,681.4,765,0.6039,100,765,1802,1795,745,0.5995,0.1.1.0.1.32.5,Ga0066474_104280,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,
0.1,scaffold13928,2.2,261,0.6858,100,261,2,2,2,0.695,0.1.1.0.1.32.5,Ga0066474_113928,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,
0.1,scaffold04050,5.6,821,0.3886,100,821,15,16,6,0.3834,0.1.1.0.1.36.0,Ga0066474_104050,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Kitasatospora,
0.1,scaffold08682,665.1,371,0.5445,100,371,926,828,756,0.5386,0.1.1.0.1.36.0,Ga0066474_108682,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Kitasatospora,
